PetID,age_adult,is_young,is_mixed_breed,gender_male,gender_female,sterilized_yes,byu,quality,adopted_30d
d7d1cf92c,1,0,0,0,1,0,0.6735,0.9403,1
41d6c5f90,1,0,1,1,0,1,0.1568,0.9164,0
818cf6f02,1,0,1,1,0,0,0.4983,0.9027,0
3c2e29219,1,0,1,0,1,1,0.1711,0.8926,0
bc6abd32e,1,0,1,0,1,1,0.2127,0.8889,0
d60dbdd7a,0,1,1,0,1,1,0.3191,0.8864,0
615f5dc85,0,1,1,0,1,0,0.3389,0.8833,0
5d7c27d43,1,0,1,0,1,1,0.1899,0.882,1
dfb0b0928,1,0,1,0,1,1,0.1664,0.8805,0
b71eb2942,1,0,0,1,0,0,0.7253,0.8802,1
672bc370b,0,1,1,0,1,0,0.5033,0.88,0
5e203eeaf,0,0,1,0,1,1,0.2241,0.8793,0
933da53ee,0,0,1,0,1,1,0.1665,0.8685,0
8167f58bb,1,0,1,1,0,1,0.281,0.8666,1
86547ad6d,0,1,1,0,1,1,0.336,0.8663,0
f663a91e8,0,0,0,0,1,1,0.5439,0.8647,0
65180c32a,1,0,1,1,0,0,0.1465,0.8637,0
cba8264f9,0,0,1,0,1,1,0.2826,0.8625,1
1bd200942,0,0,1,1,0,0,0.2794,0.8621,0
2abfa66d6,1,0,1,0,1,1,0.0979,0.8596,0
71f245b82,1,0,1,0,1,1,0.163,0.8591,0
b08012e7f,1,0,1,1,0,1,0.3512,0.8582,1
31081d71d,1,0,1,1,0,1,0.1303,0.8581,0
8813e5e4d,1,0,1,0,1,1,0.1132,0.8573,0
0995bd489,0,1,1,0,1,0,0.4728,0.856,1
0493336f7,1,0,0,1,0,0,0.6553,0.8527,0
79bf5eb37,1,0,0,1,0,0,0.6732,0.8523,1
9a1be07d5,1,0,0,1,0,1,0.6774,0.8495,0
2fa5bde3c,1,0,1,1,0,0,0.5536,0.8471,0
01c6d3224,0,0,0,1,0,0,0.6979,0.8457,1
02af3813e,1,0,1,1,0,0,0.1738,0.8453,0
1c4f5efa8,0,0,1,0,1,1,0.2475,0.8415,1
b9086e44f,1,0,0,1,0,1,0.6391,0.8406,1
64568c4a6,0,0,0,0,1,1,0.2943,0.8392,1
375a0eb3c,1,0,1,1,0,0,0.2152,0.8392,0
9d4e91ab0,1,0,1,1,0,0,0.3261,0.8386,0
59c9f850a,0,0,1,1,0,0,0.2449,0.8384,0
214dbc1f4,1,0,0,1,0,1,0.5286,0.8371,0
73c4d95a2,1,0,1,1,0,1,0.1698,0.8371,1
955e7c5cf,1,0,1,1,0,0,0.3258,0.8369,0
437b01de4,0,0,1,0,1,1,0.2038,0.835,0
b4d7cbe8b,1,0,1,0,1,1,0.1921,0.8345,0
c2386bba2,1,0,1,0,1,1,0.2241,0.8342,1
903523a17,1,0,1,0,1,0,0.244,0.8338,0
bce2ed853,1,0,1,1,0,0,0.3096,0.8329,0
fea9183f6,1,0,1,1,0,0,0.2618,0.8307,0
3bcc3be83,1,0,1,1,0,0,0.3025,0.8253,0
e29fd3f0a,1,0,0,0,1,0,0.53,0.8247,1
edbffc8cf,1,0,1,1,0,0,0.4628,0.8246,0
7af7d9cb6,0,1,1,0,1,0,0.3132,0.8227,0
330943a7e,1,0,0,1,0,0,0.6812,0.8223,1
fb278c21e,1,0,1,1,0,0,0.3719,0.8205,0
7687b7da2,1,0,1,1,0,1,0.5666,0.8204,0
8660ad37b,0,1,1,0,1,0,0.376,0.8198,0
5ee5f72b8,0,1,1,0,1,1,0.4193,0.8196,1
c634af483,0,0,1,0,1,0,0.2536,0.8191,0
1758efd47,0,1,1,0,1,1,0.2681,0.8182,0
4a7fe0b83,0,1,1,0,1,0,0.4733,0.8168,1
7d1030b42,1,0,1,1,0,1,0.1108,0.8166,0
a0fb13b2e,1,0,0,0,1,0,0.4922,0.8132,1
861c903b6,1,0,1,0,1,1,0.1093,0.8124,0
e7176bba4,1,0,1,0,1,1,0.2079,0.8123,1
da9b9db54,1,0,0,0,1,0,0.5935,0.8123,1
b7ea489ae,0,0,1,1,0,1,0.2759,0.8111,1
485bebd4f,1,0,1,0,1,1,0.3627,0.8108,0
918471707,1,0,1,1,0,1,0.2658,0.8106,0
2023404f9,1,0,1,0,1,1,0.1103,0.8105,0
2a64c0560,0,1,1,0,1,1,0.2891,0.8096,0
f58424835,0,0,1,0,1,0,0.283,0.8088,0
79ef1fd27,1,0,1,0,1,1,0.1917,0.8075,0
db9af2894,0,0,1,1,0,1,0.259,0.807,0
279ca5034,1,0,1,0,1,1,0.1367,0.8068,0
623138a05,1,0,0,0,1,1,0.4988,0.8065,1
cd9c84ec2,1,0,1,0,1,1,0.2834,0.8059,1
d4c9eaede,0,1,1,1,0,0,0.495,0.8058,0
405b63ca5,0,1,1,0,1,0,0.4247,0.8048,0
fce6f8dff,0,1,0,0,1,0,0.6517,0.8047,1
67af2d880,1,0,1,1,0,0,0.2005,0.8022,0
ed7cde89e,1,0,1,0,1,0,0.2194,0.8015,0
05dc47bda,0,0,1,1,0,1,0.4419,0.8,1
656246ceb,1,0,1,0,1,0,0.2714,0.7989,0
7ddc32b12,1,0,0,1,0,1,0.4771,0.7966,0
582c02d86,1,0,1,1,0,0,0.4833,0.7966,1
69f9ebfbc,1,0,1,1,0,1,0.3891,0.7965,1
57a93e9a6,0,1,1,0,1,1,0.3989,0.7955,0
4bbc7992a,0,0,1,0,1,1,0.3488,0.7943,1
bbab88df0,0,1,1,0,1,0,0.511,0.794,1
776354931,1,0,1,1,0,0,0.3805,0.7939,0
6c121d784,1,0,0,1,0,0,0.5487,0.7934,1
ecb3e47a6,1,0,1,0,1,0,0.4533,0.7931,0
82905a82e,1,0,1,1,0,0,0.2991,0.7925,0
3a94fdf2d,1,0,1,1,0,0,0.3119,0.7919,0
0f012474b,1,0,1,1,0,1,0.3508,0.7918,1
99558286a,0,1,1,0,1,0,0.3009,0.7914,0
8f1d6224d,0,1,1,0,0,0,0.4257,0.7907,0
5dff15fc4,1,0,1,1,0,0,0.427,0.7903,0
2b1582f99,1,0,1,1,0,1,0.2238,0.7903,0
00156db4a,0,1,1,1,0,0,0.5513,0.7903,1
4ff447944,1,0,1,1,0,0,0.4184,0.7896,0
4d75e5771,0,1,1,0,1,0,0.3588,0.7886,0
950dd345b,0,0,1,0,1,1,0.2849,0.7884,0
53549acd2,1,0,1,0,1,1,0.1756,0.788,0
e40368c38,0,1,1,1,0,0,0.3879,0.7879,1
cd469a42f,0,0,1,0,1,0,0.4388,0.7879,0
f928a7e7f,0,0,1,0,1,0,0.209,0.7876,0
8a0a8eec0,0,1,1,0,1,0,0.3067,0.7855,0
3f9f466d1,0,1,1,0,1,1,0.2525,0.7854,0
00bfa5da9,0,1,1,1,0,0,0.3579,0.7849,0
1c16e813b,1,0,0,0,1,0,0.6472,0.7849,1
6134ae21d,1,0,0,1,0,1,0.6158,0.7847,0
a05c489dc,0,0,1,1,0,1,0.3568,0.7842,0
f665c5189,1,0,0,0,1,1,0.5467,0.7837,0
49c216bf8,1,0,1,0,1,0,0.2971,0.7833,0
92fa4a896,0,1,1,0,1,0,0.5075,0.783,0
de9e02d44,1,0,0,0,0,0,0.5646,0.7818,0
a4c903a3d,1,0,1,1,0,1,0.1902,0.7801,0
b686d33cd,1,0,0,1,0,1,0.6045,0.7788,1
f33406495,1,0,0,0,1,0,0.6458,0.7787,1
790e639ed,1,0,1,1,0,0,0.5502,0.7772,0
94afcd90c,0,1,1,0,1,0,0.4958,0.777,0
bbd704c14,0,0,0,1,0,0,0.6478,0.7764,1
13b807376,1,0,1,1,0,0,0.3455,0.7764,1
671ffc570,0,1,1,1,0,1,0.4143,0.7758,0
1a4d9f6e1,0,1,1,0,1,0,0.3599,0.7758,0
17d9c9586,1,0,1,1,0,0,0.3846,0.7756,0
77f9b1470,1,0,1,1,0,1,0.2821,0.7755,1
9a9f6c753,1,0,1,0,1,0,0.2304,0.7754,0
67967b0b0,1,0,0,1,0,1,0.4817,0.7751,1
6c324e80a,0,1,1,0,1,0,0.385,0.7738,0
8010a808c,1,0,1,0,1,0,0.2395,0.7732,1
0b8e1dd80,0,1,1,0,1,0,0.3681,0.7719,0
4f94e2b5a,0,1,1,0,1,0,0.2594,0.7707,0
6914ade58,0,1,1,0,0,0,0.403,0.7703,0
c9439e71b,0,1,1,0,1,0,0.5167,0.7687,0
4cfd0fac0,1,0,1,1,0,1,0.1578,0.7681,0
66bf65c82,0,1,1,1,0,0,0.546,0.7678,0
35c0c3aca,0,1,1,1,0,1,0.4524,0.7678,0
cb867cac6,1,0,0,1,0,1,0.3569,0.7672,0
8d0f353e2,1,0,1,0,1,0,0.4545,0.767,0
9945962c3,1,0,1,0,1,0,0.4374,0.7667,0
732fa3cb9,0,1,1,0,1,0,0.3249,0.7656,0
3c29e8689,1,0,0,0,1,1,0.47,0.7652,1
c77a68714,0,1,1,0,1,0,0.3233,0.7646,0
094c2c3bf,1,0,1,1,0,1,0.1689,0.7646,0
198a73c5e,0,1,1,1,0,0,0.5609,0.7642,0
5bd3c6eee,0,1,1,0,1,1,0.2084,0.7637,1
cbc7dc778,0,1,1,0,1,1,0.2951,0.7626,1
a37c82165,1,0,1,1,0,1,0.4016,0.7617,1
4dc6822f8,0,1,1,0,1,0,0.3017,0.7604,0
c5af48975,0,1,1,1,0,0,0.4547,0.7602,1
f5e35ea02,1,0,1,1,0,1,0.1845,0.7596,0
69b2e9f3f,1,0,0,1,0,1,0.5587,0.7596,0
4036e0e12,1,0,0,0,1,1,0.5383,0.7589,0
faf64d6a6,1,0,1,0,1,0,0.1267,0.7579,0
b5fcc079e,1,0,1,1,0,1,0.2474,0.7578,0
e1cd176b5,1,0,1,0,1,0,0.3862,0.7578,0
5dd7c4c06,1,0,0,1,0,0,0.6571,0.7569,1
18b6fc5f0,0,1,1,0,1,0,0.5374,0.7566,1
a234c6496,1,0,1,0,0,0,0.4939,0.7559,0
ef7bdaf3a,1,0,1,1,0,1,0.5111,0.7546,1
6fcee4bee,0,1,1,1,0,0,0.5869,0.7546,0
634f65242,0,1,1,1,0,0,0.2679,0.7543,0
5163abb6e,0,1,1,1,0,0,0.5532,0.7543,0
8655a46ed,1,0,1,0,1,0,0.1717,0.7542,0
474ee7e00,1,0,1,0,1,0,0.3057,0.7541,0
05d10428c,0,0,1,0,1,0,0.3058,0.7523,0
e976f3d3a,0,1,1,1,0,0,0.3577,0.752,1
00c19f4fa,0,1,1,0,0,1,0.442,0.751,1
ce50f376f,0,1,1,0,0,1,0.4885,0.751,1
d476272d7,1,0,0,0,1,1,0.2534,0.7504,0
adc3a477a,1,0,0,0,1,0,0.6815,0.7502,1
35bb8ee8f,1,0,1,0,1,0,0.1495,0.75,0
013527aeb,0,0,0,0,1,0,0.6354,0.7486,1
710126170,1,0,0,1,0,1,0.6363,0.7486,1
c40052aba,0,1,1,1,0,0,0.5812,0.7481,0
c6de9b701,1,0,1,1,0,1,0.285,0.7476,0
bd5ac00df,1,0,0,0,1,1,0.5552,0.7464,1
f0057428e,1,0,0,1,0,0,0.7081,0.7463,1
9c833c8c4,0,1,1,1,0,0,0.4234,0.7457,0
2a9a33d29,0,0,1,0,1,0,0.3485,0.7435,1
31da37bc0,0,1,1,0,1,1,0.3355,0.7434,0
a32e58f2f,0,1,1,1,0,0,0.3623,0.7413,0
3ee05e0d5,1,0,1,0,1,0,0.2778,0.741,0
83b705aaa,1,0,0,0,1,1,0.5647,0.7404,0
a6e902691,1,0,1,0,1,0,0.2053,0.7384,0
c4a3c0456,0,1,1,1,0,0,0.4993,0.738,1
1eeb50e8f,0,1,1,0,1,1,0.2996,0.7379,0
67be298a7,1,0,1,0,0,0,0.3799,0.7378,0
31c2215c1,1,0,0,0,1,0,0.6298,0.7373,1
c7e8a87dc,0,0,0,1,0,1,0.5787,0.7369,1
9e2af0f7a,0,1,1,0,1,1,0.3036,0.7365,0
f288b4919,1,0,0,1,0,0,0.6814,0.7363,0
7c787403c,1,0,0,1,0,1,0.6492,0.7361,1
d6259561f,0,1,1,1,0,0,0.6163,0.7345,0
75bfbc825,0,1,1,1,0,0,0.3207,0.7336,0
4edc9ecc5,1,0,0,0,1,0,0.5205,0.7331,1
73ec4c916,0,1,1,0,1,1,0.3751,0.73,0
ed08c717d,0,0,0,1,0,0,0.6196,0.7279,1
919ebd16f,1,0,0,1,0,0,0.6144,0.7277,0
a355a6873,0,1,1,0,1,1,0.3252,0.7262,0
63a3f229c,0,1,1,1,0,1,0.509,0.7242,1
2def0a43e,0,1,1,1,0,0,0.5167,0.7236,0
22992ecd0,0,1,1,1,0,0,0.4949,0.7233,1
4450385b4,0,1,0,1,0,0,0.7143,0.7231,1
fd015c129,0,0,0,1,0,1,0.558,0.723,1
682b7b7d0,1,0,0,0,1,0,0.528,0.7229,0
d5053eb47,0,1,1,1,0,0,0.507,0.7211,0
8cb5fc48e,0,1,1,0,1,1,0.3886,0.7203,0
277210bb9,1,0,0,0,1,1,0.4333,0.72,0
edd25890d,1,0,0,1,0,0,0.6636,0.7178,1
221331819,0,1,1,0,1,1,0.2577,0.7176,0
ac6d69d99,0,1,1,0,1,1,0.2876,0.7169,0
b40818da6,1,0,0,1,0,1,0.5349,0.7162,1
3625dd7cf,1,0,0,1,0,1,0.5423,0.7149,0
15937e540,1,0,0,1,0,1,0.618,0.7143,1
95914d469,0,1,1,1,0,0,0.3659,0.7137,0
44c8447f9,0,1,1,1,0,0,0.556,0.713,0
a12bb119e,0,1,1,1,0,0,0.613,0.7128,1
1f7c7c248,0,1,1,0,1,1,0.266,0.7118,0
6c71db5b5,1,0,0,0,1,0,0.6008,0.7117,1
518f86025,0,1,1,1,0,0,0.4865,0.7116,0
4b4f32911,1,0,0,1,0,0,0.6581,0.7112,1
21c8d5f0e,0,1,1,0,1,1,0.2252,0.7088,0
7b8a09f2d,1,0,0,0,0,0,0.672,0.7073,1
f3a5451b9,1,0,0,1,0,0,0.6406,0.7072,1
a662626a6,1,0,0,1,0,0,0.6662,0.7053,0
3b3349318,1,0,0,1,0,0,0.7358,0.7052,1
0abff77fe,0,1,1,1,0,1,0.337,0.7045,0
6668704bf,1,0,0,1,0,0,0.7001,0.7035,1
2831adaff,0,1,1,0,1,1,0.2922,0.7025,0
92b6acf73,1,0,0,1,0,0,0.6957,0.7022,1
461b33f39,1,0,0,1,0,1,0.5016,0.6998,0
3b923cef0,0,0,0,0,1,1,0.5026,0.6989,0
b53990a1d,1,0,0,1,0,0,0.6351,0.6988,0
4d43092e3,1,0,0,0,0,1,0.2528,0.6988,0
01958f464,0,0,0,0,1,0,0.4427,0.6969,0
91697ee90,1,0,0,1,0,0,0.6853,0.6969,1
030f32f08,0,1,1,0,1,1,0.3399,0.6966,0
1d9604897,1,0,0,0,1,1,0.5009,0.6947,1
33a51709e,0,1,1,1,0,1,0.4056,0.6941,1
c32940f0f,1,0,0,1,0,0,0.7024,0.6939,1
7b4ff27b3,0,0,0,0,1,0,0.5176,0.6925,1
13c67e713,1,0,0,0,1,0,0.6279,0.692,1
074042a24,0,1,1,0,1,1,0.3848,0.689,1
a2665a33f,1,0,0,0,1,1,0.5854,0.6865,1
816005a03,1,0,0,1,0,0,0.6845,0.6855,1
61b6e170c,1,0,0,0,1,0,0.6325,0.6846,0
16002dd9b,0,1,0,0,1,0,0.551,0.6838,1
f1e99433d,1,0,0,0,1,0,0.5202,0.6832,1
9f2948e8e,1,0,0,1,0,0,0.6856,0.6821,1
