animal_id,shelter_name,area,breed,is_mixed_breed,sex,body_type,color,age_class,sterilized,photo_url,found_place,open_date,shelter_address,shelter_tel
461174,新竹縣動物保護教育園區,新竹縣動物保護教育園區,混種犬,1,M,MEDIUM,虎斑色,ADULT,T,https://www.pet.gov.tw/upload/pic/1784476980580.png,,2026-07-17,新竹縣竹北市縣政五街192號,(03)5519548
461366,新竹縣動物保護教育園區,新竹縣動物保護教育園區,混種犬,1,M,MEDIUM,黑色,ADULT,T,https://www.pet.gov.tw/upload/pic/1784561759355.png,,2026-07-20,新竹縣竹北市縣政五街192號,(03)5519548
364076,新北市五股區公立動物之家,新北市五股區公立動物之家,混種犬,1,M,MEDIUM,黑色,ADULT,F,https://www.pet.gov.tw/upload/pic/1719542756562.png,林口粉寮路281_2號,2024-06-28,新北市五股區外寮路9-9號,(02)82925265
462216,新北市新店區公立動物之家,新北市新店區公立動物之家,混種犬,1,F,MEDIUM,黑色,ADULT,T,https://www.pet.gov.tw/upload/pic/1785052981160.png,汐止區水源路一段265號,,新北市新店區安泰路235號,(02)22159462
462214,新北市新店區公立動物之家,新北市新店區公立動物之家,混種犬,1,F,BIG,黑黃色,ADULT,T,https://www.pet.gov.tw/upload/pic/1785052261462.png,新店區北新路二段139巷,2026-07-26,新北市新店區安泰路235號,(02)22159462
462218,高雄市壽山動物保護教育園區,高雄市壽山動物保護教育園區,比熊犬,0,M,MEDIUM,白色,ADULT,N,https://www.pet.gov.tw/upload/pic/1785053348444.png,鼎山街,,高雄市鼓山區萬壽路350號,(07)5519059
462217,高雄市壽山動物保護教育園區,高雄市壽山動物保護教育園區,貴賓犬,0,F,SMALL,棕色,ADULT,F,https://www.pet.gov.tw/upload/pic/1785053277793.png,民權路,,高雄市鼓山區萬壽路350號,(07)5519059
77260,臺北市動物之家,臺北市動物之家,混種犬,1,M,MEDIUM,棕色,ADULT,T,https://www.pet.gov.tw/upload/pic/1671600084123.png,夢幻湖停車場,2021-04-11,臺北市內湖區安美街191號,(02)87913254
462206,新北市新店區公立動物之家,新北市新店區公立動物之家,混種犬,1,F,BIG,黑黃色,ADULT,T,https://www.pet.gov.tw/upload/pic/1785048306918.png,新店區明山路9號,,新北市新店區安泰路235號,(02)22159462
462073,基隆市寵物銀行,基隆市寵物銀行,混種犬,1,N,BIG,虎斑色,ADULT,N,https://www.pet.gov.tw/upload/pic/1784877164792.png,安樂果菜市場,2026-07-24,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
461539,桃園市動物保護教育園區,桃園市動物保護教育園區,貴賓犬,0,F,SMALL,白色,ADULT,N,https://www.pet.gov.tw/upload/pic/1784616852572.png,,,桃園市新屋區永興里3鄰藻礁路1668號,(03)4861760
462196,高雄市壽山動物保護教育園區,高雄市壽山動物保護教育園區,邊境牧羊犬,0,M,BIG,黑色,ADULT,N,https://www.pet.gov.tw/upload/pic/1785028094654.png,鳳林三路,,高雄市鼓山區萬壽路350號,(07)5519059
29034,桃園市動物保護教育園區,桃園市動物保護教育園區,混種犬,1,M,MEDIUM,黑色,ADULT,T,https://www.pet.gov.tw/upload/pic/6d999363-eb4d-4ff9-936e-d85f1c0bef4b.JPG,萬壽路１段６３４巷,2023-08-24,桃園市新屋區永興里3鄰藻礁路1668號,(03)4861760
58842,桃園市動物保護教育園區,桃園市動物保護教育園區,混種犬,1,M,MEDIUM,黑色,ADULT,F,https://www.pet.gov.tw/upload/pic/2718e9e2-d330-455d-befb-9b76ef37dd2c.JPG,大溪區員林里員林路２段對面中醫診所,2026-07-25,桃園市新屋區永興里3鄰藻礁路1668號,(03)4861760
41772,桃園市動物保護教育園區,桃園市動物保護教育園區,混種犬,1,F,MEDIUM,虎斑色,ADULT,F,https://www.pet.gov.tw/upload/pic/a7963a9c-cef6-4d16-a1ac-59ff5012aa8f.JPG,中正路１４鄰,2021-12-02,桃園市新屋區永興里3鄰藻礁路1668號,(03)4861760
159047,桃園市動物保護教育園區,桃園市動物保護教育園區,混種犬,1,F,MEDIUM,黑色,ADULT,F,https://www.pet.gov.tw/upload/pic/5e239b48-67d0-4cb2-8a8e-b8182d12a426.JPG,菓林里崁下,2026-07-25,桃園市新屋區永興里3鄰藻礁路1668號,(03)4861760
462173,臺北市動物之家,臺北市動物之家,混種犬,1,F,MEDIUM,黑色,ADULT,T,https://www.pet.gov.tw/upload/pic/1784964927326.png,,2026-07-25,臺北市內湖區安美街191號,(02)87913254
396998,臺北市動物之家,臺北市動物之家,混種犬,1,M,MEDIUM,黑白色,ADULT,T,https://www.pet.gov.tw/upload/pic/1741586803102.png,金華街,2025-07-27,臺北市內湖區安美街191號,(02)87913254
349214,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,M,MEDIUM,黃白色,ADULT,T,https://www.pet.gov.tw/upload/pic/1709863195195.png,南投縣中寮鄉廣福村鄉林巷,2024-03-07,南投縣南投市嶺興路36-1號,(049)2225440
139097,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,F,MEDIUM,黑色,ADULT,T,https://www.pet.gov.tw/upload/pic/08499c69-6d93-4d77-abf0-8bf636b19f16.JPG,南投縣集集鎮集集里,2020-01-10,南投縣南投市嶺興路36-1號,(049)2225440
113958,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,M,MEDIUM,黑色,ADULT,T,https://www.pet.gov.tw/upload/pic/75f536fb-4a82-413e-82d3-e6f01cf49231.JPG,南投縣集集鎮,2021-09-27,南投縣南投市嶺興路36-1號,(049)2225440
70204,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,M,MEDIUM,虎斑色,ADULT,T,https://www.pet.gov.tw/upload/pic/584282c2-d72a-4197-8963-6b9e085c7fe1.JPG,南投縣國姓鄉,2019-02-19,南投縣南投市嶺興路36-1號,(049)2225440
27922,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,F,MEDIUM,黑色,ADULT,T,https://www.pet.gov.tw/upload/pic/15146b52-722f-4ceb-b9af-e3b87b32c04d.JPG,南投縣竹山鎮,2016-07-01,南投縣南投市嶺興路36-1號,(049)2225440
26922,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,M,MEDIUM,黃虎斑色,ADULT,T,https://www.pet.gov.tw/upload/pic/16e2e5c6-8dd4-4d18-8cbe-9d43fe817982.JPG,南投縣埔里鎮,2016-08-24,南投縣南投市嶺興路36-1號,(049)2225440
26918,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,M,MEDIUM,黑色,ADULT,T,https://www.pet.gov.tw/upload/pic/55c79309-dfc0-4bb2-8f99-63e0b33736c9.JPG,南投縣信義鄉,2017-05-11,南投縣南投市嶺興路36-1號,(049)2225440
26915,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,F,MEDIUM,黃色,ADULT,T,https://www.pet.gov.tw/upload/pic/a34e1857-66aa-4921-b0f7-5bf2504c20d3.JPG,南投縣水里鄉,2016-03-18,南投縣南投市嶺興路36-1號,(049)2225440
26914,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,M,MEDIUM,黃色,ADULT,T,https://www.pet.gov.tw/upload/pic/82209d4d-e078-4b79-a949-b463c200c2c9.JPG,南投縣南投市,2016-11-18,南投縣南投市嶺興路36-1號,(049)2225440
26913,南投縣公立動物收容所,南投縣公立動物收容所,混種犬,1,M,MEDIUM,虎斑色,ADULT,F,https://www.pet.gov.tw/upload/pic/8fcfb461-6124-41b2-a97d-596750ae4cae.JPG,南投縣竹山鎮,2016-08-11,南投縣南投市嶺興路36-1號,(049)2225440
